Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
5	2	0	3	LastDelay	0	0	1	0
5	2	0	3	FullDelay	3	3e+06	2	0
5	3	0	3	LastDelay	0	0	1	0
5	3	0	3	FullDelay	3	3e+06	2	0
5	5	0	3	LastDelay	0	0	1	0
5	5	0	3	FullDelay	3	3e+06	2	0
5	7	0	3	LastDelay	0	0	1	0
5	7	0	3	FullDelay	3	3e+06	2	0
5	8	0	3	LastDelay	0	0	1	0
5	8	0	3	FullDelay	3	3e+06	2	0
5	10	0	3	LastDelay	0	0	1	0
5	10	0	3	FullDelay	3	3e+06	2	0
5	12	0	3	LastDelay	0	0	1	0
5	12	0	3	FullDelay	3	3e+06	2	0
5	13	0	3	LastDelay	0	0	1	0
5	13	0	3	FullDelay	3	3e+06	2	0
5	15	0	3	LastDelay	0	0	1	0
5	15	0	3	FullDelay	3	3e+06	2	0
5	16	0	3	LastDelay	0	0	1	0
5	16	0	3	FullDelay	3	3e+06	2	0
5	17	0	3	LastDelay	0	0	1	0
5	17	0	3	FullDelay	3	3e+06	2	0
5	18	0	3	LastDelay	0	0	1	0
5	18	0	3	FullDelay	3	3e+06	2	0
5	19	0	3	LastDelay	0	0	1	0
5	19	0	3	FullDelay	3	3e+06	2	0
5	20	0	3	LastDelay	0	0	1	0
5	20	0	3	FullDelay	3	3e+06	2	0
5	21	0	3	LastDelay	0	0	1	0
5	21	0	3	FullDelay	3	3e+06	2	0
5	22	0	3	LastDelay	0	0	1	0
5	22	0	3	FullDelay	3	3e+06	2	0
5	23	0	3	LastDelay	0	0	1	0
5	23	0	3	FullDelay	3	3e+06	2	0
5	24	0	3	LastDelay	0	0	1	0
5	24	0	3	FullDelay	3	3e+06	2	0
5	25	0	3	LastDelay	0	0	1	0
5	25	0	3	FullDelay	3	3e+06	2	0
5	26	0	3	LastDelay	0	0	1	0
5	26	0	3	FullDelay	3	3e+06	2	0
5	27	0	3	LastDelay	0	0	1	0
5	27	0	3	FullDelay	3	3e+06	2	0
5	28	0	3	LastDelay	0	0	1	0
5	28	0	3	FullDelay	3	3e+06	2	0
5	29	0	3	LastDelay	0	0	1	0
5	29	0	3	FullDelay	3	3e+06	2	0
5.50807	19	0	4	LastDelay	0.00806706	8067.06	1	0
5.50807	19	0	4	FullDelay	3.00807	3.00807e+06	2	0
5.5119	3	0	4	LastDelay	0.0119008	11900.8	1	1
5.5119	3	0	4	FullDelay	3.0119	3.0119e+06	2	1
5.5257	2	0	4	LastDelay	0.0257007	25700.7	1	1
5.5257	2	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	7	0	4	LastDelay	0.0257007	25700.7	1	1
5.5257	7	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	8	0	4	LastDelay	0.0257007	25700.7	1	1
5.5257	8	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	13	0	4	LastDelay	0.0257007	25700.7	1	1
5.5257	13	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	15	0	4	LastDelay	0.0257007	25700.7	1	1
5.5257	15	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	17	0	4	LastDelay	0.0257007	25700.7	1	1
5.5257	17	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	21	0	4	LastDelay	0.0257007	25700.7	1	1
5.5257	21	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	10	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	10	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	12	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	12	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	16	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	16	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	18	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	18	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	20	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	20	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	22	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	22	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	23	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	23	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	24	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	24	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	25	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	25	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	26	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	26	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	27	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	27	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	28	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	28	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	29	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	29	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	5	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	5	0	4	FullDelay	3.0257	3.0257e+06	2	1
5.5257	0	0	4	LastDelay	0.0257008	25700.8	1	1
5.5257	0	0	4	FullDelay	3.5257	3.5257e+06	2	1
6.51399	19	0	7	LastDelay	0.0139912	13991.2	1	0
6.51399	19	0	7	FullDelay	0.0139912	13991.2	1	0
6.52265	3	0	7	LastDelay	0.0226489	22648.9	1	1
6.52265	3	0	7	FullDelay	0.0226489	22648.9	1	1
6.52894	2	0	7	LastDelay	0.0289392	28939.2	1	1
